Date,Open,High,Low,Close,Volume
2022-07-12,759.76,766.85,755.91,755.91,2606160
2022-07-13,752.7,757.68,751.04,751.72,1708777
2022-07-14,751.2,761.49,747.54,747.68,4963114
2022-07-15,746.76,752.23,742.04,744.14,1680525
2022-07-18,741.55,748.17,733.43,736.05,1742865
2022-07-19,734.25,739.79,726.33,739.79,4946222
2022-07-20,743.5,748.54,739.01,748.41,3033146
2022-07-21,750.89,759.78,739.68,748.18,4944168
2022-07-22,744.39,752.15,737.15,752.06,2737994
2022-07-25,753.75,755.89,749.48,749.48,3736140
2022-07-26,749.07,750.28,742.11,750.28,5045346
2022-07-27,750.8,758.75,747.7,747.7,4271241
2022-07-28,746.3,756.1,740.21,755.05,5355244
2022-07-29,756.01,759.38,753.28,759.38,5612321
2022-08-01,762.32,771.79,757.04,768.74,4632077
2022-08-02,768.09,772.75,760.28,764.74,1805848
2022-08-03,762.54,774.02,755.27,761.42,4295156
2022-08-04,765.3,772.74,753.13,767.01,2794351
2022-08-05,770.37,774.8,757.38,765.4,5248085
2022-08-08,765.5,771.76,757.99,767.46,4766718
2022-08-09,765.96,770.4,764.43,764.43,2844166
2022-08-10,766.45,772.14,763.86,763.86,776170
2022-08-11,762.85,765.87,756.09,765.87,4077166
2022-08-12,768.88,770.25,757.86,770.25,1409498
2022-08-15,769.29,779.4,762.01,779.4,5444224
2022-08-16,778.76,786.31,770.1,781.09,5377995
2022-08-17,777.38,787.99,773.9,773.9,2360830
2022-08-18,776.5,783.66,767.64,767.95,2472356
2022-08-19,768.76,775.47,763.65,771.73,3799807
2022-08-22,774.58,781.91,764.81,779.88,1306818
2022-08-23,778.42,781.33,777.9,777.9,3022255
2022-08-24,780.57,783.61,768.51,774.97,753083
2022-08-25,778.45,783.83,769.87,773.69,4994260
2022-08-26,770.26,779.56,768.86,768.86,4025015
2022-08-29,771.57,778.16,761.36,775.05,1479381
2022-08-30,773.81,776.2,770.18,776.2,730009
2022-08-31,774.89,785.95,766.45,778.96,4134609
2022-09-01,775.69,784.66,767.66,779.85,3488485
2022-09-02,783.0,783.57,771.7,783.57,1111137
2022-09-05,781.88,792.6,779.65,780.91,1427831
2022-09-06,784.82,792.31,775.45,788.39,4001748
2022-09-07,790.88,799.72,779.83,779.83,3948260
2022-09-08,778.1,780.83,776.7,780.83,1664292
2022-09-09,783.61,786.33,778.9,784.22,2774630
2022-09-12,781.7,788.07,778.17,778.17,2691257
2022-09-13,777.23,787.29,772.32,772.32,2904425
2022-09-14,773.53,781.19,767.81,773.52,2389740
2022-09-15,772.91,778.24,769.46,778.24,2750704
2022-09-16,777.17,783.64,769.46,776.05,5729383
2022-09-19,775.39,785.87,774.03,785.87,3483168
2022-09-20,783.89,789.0,780.81,789.0,1845862
2022-09-21,790.29,794.87,784.19,789.21,2892794
2022-09-22,788.31,792.15,783.94,792.15,4980972
2022-09-23,790.72,795.39,787.04,793.03,5662999
2022-09-26,790.95,801.64,786.99,801.64,1683996
2022-09-27,799.63,807.69,790.27,798.35,1188041
2022-09-28,799.43,803.34,791.11,797.06,5044583
2022-09-29,797.04,804.19,787.29,801.61,1411834
2022-09-30,800.04,803.94,791.56,793.53,5194959
2022-10-03,791.95,795.23,787.27,788.75,2006767
2022-10-04,792.23,793.44,779.46,793.44,2202929
2022-10-05,790.47,802.19,780.68,800.98,5016421
2022-10-06,802.97,810.19,791.39,793.5,1389927
2022-10-07,790.13,801.74,786.0,801.74,4396666
2022-10-10,801.44,810.29,796.44,797.19,1780186
2022-10-11,793.88,801.5,789.72,801.5,3573132
2022-10-12,800.6,802.52,793.49,799.31,5915371
2022-10-13,797.32,801.57,789.46,794.12,4184068
2022-10-14,798.07,807.89,786.06,786.06,3321686
2022-10-17,786.0,791.04,783.33,787.07,2937436
2022-10-18,786.16,793.53,782.97,793.53,4127615
2022-10-19,790.07,803.24,781.49,797.5,5478429
2022-10-20,797.5,806.7,795.53,804.45,3999604
2022-10-21,800.95,811.11,791.2,811.11,1889302
2022-10-24,808.03,814.56,798.6,800.32,4244011
2022-10-25,802.67,812.12,793.62,805.63,1151719
2022-10-26,809.61,813.41,803.5,813.41,2500458
2022-10-27,813.82,815.7,808.05,815.7,5355048
2022-10-28,814.69,823.18,809.37,820.75,4297994
2022-10-31,816.93,826.39,814.77,826.39,3004767
2022-11-01,828.34,837.77,817.42,833.29,1423969
2022-11-02,836.94,839.43,831.15,833.35,1059796
2022-11-03,836.82,844.07,825.85,833.9,3415732
2022-11-04,835.27,840.82,826.44,832.57,2329188
2022-11-07,836.5,844.68,827.1,827.1,3084161
2022-11-08,823.2,829.16,818.13,825.81,1387103
2022-11-09,822.43,833.81,821.48,827.65,1662180
2022-11-10,825.75,829.33,818.94,829.33,2469909
2022-11-11,826.31,834.71,817.76,834.71,3938170
2022-11-14,834.05,844.24,825.88,841.77,2141618
2022-11-15,845.03,850.9,840.73,850.9,5649292
2022-11-16,852.15,856.84,842.04,852.43,5941156
2022-11-17,854.78,860.69,844.47,848.02,1093526
2022-11-18,850.0,854.36,838.57,847.93,4420363
2022-11-21,844.74,856.63,836.47,853.83,4997171
2022-11-22,851.94,860.63,850.65,854.56,4000895
2022-11-23,851.21,864.26,841.68,863.43,3604616
2022-11-24,864.4,869.43,860.14,862.76,1953126
2022-11-25,860.06,871.43,856.23,856.23,1933535
2022-11-28,857.65,860.81,849.12,860.81,1858586
2022-11-29,857.32,866.48,850.89,860.68,834654
2022-11-30,862.34,865.3,860.02,860.02,3015320
2022-12-01,860.56,867.03,850.81,850.81,5641941
2022-12-02,852.69,860.18,844.96,853.47,3924916
2022-12-05,852.13,854.68,851.52,854.11,1089319
2022-12-06,851.65,861.08,841.99,847.27,2704617
2022-12-07,843.31,856.12,841.36,850.35,2034521
2022-12-08,851.04,860.83,842.59,847.33,5698520
2022-12-09,844.53,849.75,841.83,845.52,2571784
2022-12-12,846.38,847.25,839.03,847.25,3908433
2022-12-13,851.08,852.23,838.94,852.23,5561127
2022-12-14,851.1,854.55,848.54,848.54,4405143
2022-12-15,848.44,853.73,847.59,847.66,3381035
2022-12-16,844.96,850.3,841.0,848.76,4811983
2022-12-19,845.6,852.42,837.21,841.47,2358425
2022-12-20,837.82,842.41,829.66,839.63,3843818
2022-12-21,838.88,844.84,835.57,844.84,4308535
2022-12-22,844.16,849.67,835.57,849.67,4786077
2022-12-23,852.59,859.92,843.81,859.92,1214821
2022-12-26,858.81,868.79,850.79,850.79,3347932
2022-12-27,851.55,860.84,843.54,843.54,1716153
2022-12-28,845.95,848.15,838.72,838.72,5265242
2022-12-29,835.89,842.32,828.18,842.32,729361
2022-12-30,845.04,847.63,837.71,839.24,4001285
2023-01-02,841.21,847.46,834.42,834.42,5688479
2023-01-03,835.06,839.85,831.12,839.85,1989442
2023-01-04,840.76,846.01,838.7,838.7,4902330
2023-01-05,835.1,839.99,831.51,832.75,1195254
2023-01-06,834.24,840.0,828.54,828.54,4729234
2023-01-09,827.46,834.04,818.5,834.04,2934782
2023-01-10,836.18,838.06,830.88,830.88,5580257
2023-01-11,830.18,834.07,822.39,834.07,2999441
2023-01-12,833.9,843.27,827.76,827.76,2973996
2023-01-13,825.88,829.09,822.53,822.53,3454279
2023-01-16,822.79,824.12,819.11,819.11,4745109
2023-01-17,820.79,826.12,818.51,818.51,4605375
2023-01-18,818.76,828.62,813.81,828.62,3496318
2023-01-19,827.78,833.07,824.69,833.07,2774254
2023-01-20,832.91,841.84,823.85,841.81,1321228
2023-01-23,841.41,842.53,836.88,842.26,1741352
2023-01-24,840.41,851.86,830.58,844.67,5128285
2023-01-25,846.37,854.74,841.43,854.56,4538911
2023-01-26,854.56,861.23,845.01,845.01,5425481
2023-01-27,841.32,846.92,833.49,845.51,3301207
2023-01-30,842.41,848.23,833.56,838.56,4418472
2023-01-31,835.32,843.78,829.5,843.44,4368333
2023-02-01,845.01,854.97,835.87,835.87,4269996
2023-02-02,835.79,841.87,829.91,829.91,5517515
2023-02-03,831.97,841.7,821.14,837.17,3513512
2023-02-06,833.8,844.52,833.13,844.52,5696899
2023-02-07,844.93,845.85,837.68,840.16,3395700
2023-02-08,842.86,844.8,839.31,839.31,2971497
2023-02-09,839.23,842.79,830.34,837.79,5051825
2023-02-10,835.92,847.49,829.97,836.63,1222161
2023-02-13,836.57,845.3,826.81,841.8,2571592
2023-02-14,837.98,847.83,830.72,830.83,2211188
2023-02-15,831.16,840.0,829.84,831.3,1260272
2023-02-16,831.02,840.38,827.97,827.97,4859595
2023-02-17,826.16,835.85,817.42,817.91,3140344
2023-02-20,819.57,826.75,812.7,826.75,5516018
2023-02-21,829.03,837.37,816.9,827.06,2480424
2023-02-22,824.56,833.05,817.67,821.46,757044
2023-02-23,825.2,830.87,818.34,830.87,3762730
2023-02-24,831.31,834.8,822.79,834.8,5062935
2023-02-27,832.98,842.72,828.82,842.09,3542610
2023-02-28,842.91,851.38,835.83,851.38,5309704
2023-03-01,849.91,860.77,839.94,850.48,2338263
2023-03-02,850.81,855.86,841.84,844.25,4045586
2023-03-03,847.84,850.6,838.59,842.73,4388690
2023-03-06,846.58,851.06,837.37,851.06,2669881
2023-03-07,847.43,855.86,843.9,855.86,3330934
2023-03-08,855.09,859.59,847.98,859.59,4041343
2023-03-09,861.83,863.62,851.78,857.05,2459851
2023-03-10,856.45,865.79,854.53,860.46,2282048
2023-03-13,858.1,863.39,851.77,863.39,3087002
2023-03-14,859.97,872.61,850.97,853.08,3082952
2023-03-15,849.54,857.9,845.43,845.43,4905938
2023-03-16,846.31,855.94,839.33,854.62,4629059
2023-03-17,852.55,856.32,844.98,856.32,1954919
2023-03-20,856.13,864.93,849.67,860.3,2279420
2023-03-21,856.8,862.23,855.93,861.88,723867
2023-03-22,860.86,865.51,853.74,853.74,1313846
2023-03-23,850.84,857.12,849.36,857.12,1338520
2023-03-24,853.91,864.0,852.9,862.87,867800
2023-03-27,865.52,868.87,856.18,868.87,950067
2023-03-28,865.08,869.9,860.36,869.9,3124502
2023-03-29,871.16,877.92,867.24,867.24,3164792
2023-03-30,867.97,875.89,864.07,875.89,1214055
2023-03-31,874.32,881.75,868.01,871.91,4608284
2023-04-03,875.06,880.46,868.27,868.27,4062550
2023-04-04,869.92,875.1,864.78,864.78,5775815
2023-04-05,866.29,869.84,856.61,869.84,1959706
2023-04-06,870.08,879.6,864.21,868.78,1571760
2023-04-07,866.16,870.88,859.49,870.88,1521242
2023-04-10,873.0,880.77,869.62,869.62,5307046
2023-04-11,870.27,873.4,860.26,873.4,1243234
2023-04-12,875.22,875.73,863.97,868.31,1471035
2023-04-13,864.89,873.23,861.65,873.23,1615318
2023-04-14,871.97,877.71,865.55,865.79,4526032
2023-04-17,862.27,869.42,861.45,864.61,1531829
2023-04-18,862.6,865.99,859.98,859.98,2426943
2023-04-19,856.52,862.8,847.96,862.8,5516831
2023-04-20,866.74,873.13,861.39,863.4,1277886
2023-04-21,864.38,873.15,858.22,869.73,5975789
2023-04-24,868.99,870.53,867.03,870.53,5130920
2023-04-25,871.49,879.89,861.85,876.58,4555965
2023-04-26,876.54,878.68,874.13,878.68,2832793
2023-04-27,877.51,880.22,867.74,869.47,3454438
2023-04-28,870.62,878.87,868.71,878.87,2804685
2023-05-01,881.17,889.57,871.31,889.29,3142099
2023-05-02,891.74,900.42,879.6,899.8,3578560
2023-05-03,899.52,905.33,892.08,892.08,5054190
2023-05-04,894.48,898.61,891.26,898.61,5385077
2023-05-05,897.54,908.15,896.75,906.88,5705492
2023-05-08,908.6,909.45,901.59,909.45,4930336
2023-05-09,908.74,918.92,906.27,918.15,2663846
2023-05-10,921.26,927.15,915.93,927.15,2226889
2023-05-11,929.93,937.9,925.52,925.52,3056213
2023-05-12,921.89,933.5,916.87,933.5,4673121
2023-05-15,931.49,941.1,929.44,940.22,4717880
2023-05-16,939.94,943.12,936.37,936.37,3486449
2023-05-17,934.73,939.34,926.42,939.34,2155384
2023-05-18,941.56,950.66,932.95,932.95,4515849
2023-05-19,934.42,937.04,927.52,931.45,4117777
2023-05-22,933.02,938.31,927.19,938.31,742519
2023-05-23,938.34,943.25,932.99,943.25,1043428
2023-05-24,942.2,948.5,932.47,934.68,1149131
2023-05-25,934.15,940.61,931.36,940.61,5372229
2023-05-26,937.67,942.18,933.5,942.18,1786477
2023-05-29,941.54,948.17,937.68,937.68,3921556
2023-05-30,939.83,945.62,929.6,945.62,5016516
2023-05-31,945.05,952.17,939.66,939.66,2610827
2023-06-01,936.18,941.32,928.39,941.32,1059150
2023-06-02,940.06,947.15,934.92,947.15,4992325
2023-06-05,944.41,956.76,942.68,952.19,4874692
2023-06-06,948.6,959.11,947.23,947.23,3298565
2023-06-07,949.39,953.9,941.38,942.51,2491751
2023-06-08,945.76,953.96,938.91,943.79,835282
2023-06-09,943.83,948.39,938.6,938.6,5928661
2023-06-12,939.28,944.27,929.48,944.27,4420651
2023-06-13,941.07,952.93,933.54,951.04,4818405
2023-06-14,950.03,952.11,942.9,952.11,1336036
2023-06-15,955.97,956.92,942.36,956.92,4495799
2023-06-16,958.29,960.67,947.86,947.86,3011224
2023-06-19,948.28,957.84,945.69,950.56,4152858
2023-06-20,948.81,953.33,943.63,943.76,3844860
2023-06-21,943.4,949.79,940.56,940.56,2847951
2023-06-22,941.49,947.24,931.11,943.73,3383143
2023-06-23,943.85,948.47,942.76,948.47,3422936
2023-06-26,946.81,951.36,941.68,946.3,2880475
2023-06-27,947.06,953.55,938.94,941.75,5944076
2023-06-28,940.7,946.76,930.97,933.2,5573773
2023-06-29,929.63,939.22,926.39,934.92,1051391
2023-06-30,933.64,935.63,924.0,931.57,4384013
2023-07-03,931.63,935.31,925.3,925.3,5502166
2023-07-04,923.28,934.05,916.47,916.47,2099989
2023-07-05,920.25,921.65,911.69,921.65,5149520
2023-07-06,917.87,924.57,914.23,914.23,1711336
2023-07-07,915.41,919.67,909.46,911.14,1272835
2023-07-10,913.16,922.46,905.63,922.18,2744945
2023-07-11,920.0,926.78,916.34,917.48,4153865
2023-07-12,915.02,927.03,911.18,915.87,4716353
2023-07-13,915.39,918.04,907.84,918.04,3140247
2023-07-14,915.04,921.32,907.98,921.32,1036531
2023-07-17,923.49,927.96,919.71,919.71,2996896
2023-07-18,921.79,926.66,913.76,926.66,4601456
2023-07-19,930.21,931.67,923.31,924.08,838185
2023-07-20,926.4,927.49,920.91,927.26,3477479
2023-07-21,928.13,937.28,924.67,936.93,1471749
2023-07-24,934.58,944.42,932.38,944.42,4205357
2023-07-25,942.71,949.4,933.98,948.9,2064345
2023-07-26,946.58,952.86,939.07,943.05,5302949
2023-07-27,941.53,948.02,940.46,944.04,3229462
2023-07-28,947.83,955.65,938.44,942.17,4577309
2023-07-31,943.05,949.57,938.9,940.37,3857388
2023-08-01,943.35,944.78,936.53,938.21,1051195
2023-08-02,937.38,946.84,927.65,939.05,718704
2023-08-03,936.06,944.0,932.11,935.66,3362736
2023-08-04,937.79,946.73,934.59,934.59,1336630
2023-08-07,936.65,945.4,929.65,940.09,2137878
2023-08-08,939.62,941.86,933.96,941.86,5119340
2023-08-09,941.07,948.15,936.2,946.66,737594
2023-08-10,946.73,954.24,943.29,943.83,3958567
2023-08-11,945.45,951.61,942.69,947.77,3110983
2023-08-14,949.12,957.62,945.89,956.65,4515855
2023-08-15,957.41,958.0,948.53,958.0,1279444
2023-08-16,956.03,964.66,951.63,951.82,1536999
2023-08-17,953.38,962.49,943.14,956.1,937014
2023-08-18,953.44,957.54,947.2,948.66,4889229
2023-08-21,948.62,957.71,946.35,946.35,1058717
2023-08-22,944.17,953.5,943.01,950.78,875815
2023-08-23,951.94,960.58,947.6,954.11,3019246
2023-08-24,952.37,957.4,949.11,954.23,2941025
2023-08-25,956.92,960.19,944.88,945.1,5997357
2023-08-28,945.46,948.37,942.95,947.97,4057413
2023-08-29,949.85,953.34,941.97,953.34,2743002
2023-08-30,953.33,954.8,946.82,954.8,5725483
2023-08-31,951.88,957.11,950.53,950.53,4996740
2023-09-01,952.46,958.34,946.44,946.44,5166695
2023-09-04,947.08,953.81,940.11,953.81,2346928
2023-09-05,954.2,960.02,951.25,951.25,2211468
2023-09-06,948.34,960.77,944.11,950.19,3130169
2023-09-07,948.82,959.49,945.79,946.16,5715719
2023-09-08,946.03,948.22,938.12,948.22,4739991
2023-09-11,948.84,957.82,939.57,948.96,1060829
2023-09-12,948.12,951.67,938.29,951.67,4192722
2023-09-13,952.17,954.22,949.22,949.22,3484738
2023-09-14,950.65,952.16,943.53,952.16,5847515
2023-09-15,950.97,960.57,943.81,960.34,4896763
2023-09-18,957.65,967.2,948.96,954.33,2013128
2023-09-19,950.83,964.25,940.9,950.62,1390896
2023-09-20,946.72,958.54,939.65,939.75,3171533
2023-09-21,942.25,946.23,935.39,942.88,5874773
2023-09-22,944.09,945.09,935.23,945.09,5582333
2023-09-25,947.2,950.18,943.94,950.18,3350685
2023-09-26,949.92,951.7,944.37,944.37,3371633
2023-09-27,945.51,946.17,943.79,946.17,5149407
2023-09-28,949.33,953.0,938.0,939.12,1187401
2023-09-29,940.09,942.04,934.45,942.04,2270994
2023-10-02,942.39,951.28,938.74,938.74,4111084
2023-10-03,936.85,946.28,934.94,934.94,5001967
2023-10-04,934.76,936.03,933.5,933.5,4308494
2023-10-05,930.31,935.91,928.87,928.87,5753722
2023-10-06,926.78,929.91,921.01,921.01,2578250
2023-10-09,919.43,926.29,909.76,926.29,3624943
2023-10-10,923.21,931.9,920.16,931.9,4222647
2023-10-11,930.41,937.78,926.53,937.78,2974437
2023-10-12,941.75,948.22,937.27,939.03,4598801
2023-10-13,935.54,941.15,929.56,932.75,1123463
2023-10-16,930.03,936.98,921.75,936.98,4901402
2023-10-17,934.2,945.1,932.07,943.48,957360
2023-10-18,946.83,950.61,937.22,937.22,3467069
2023-10-19,937.76,942.76,936.71,936.71,2906410
2023-10-20,933.08,944.66,929.55,929.55,5463888
2023-10-23,931.99,941.74,927.87,936.76,5948031
2023-10-24,940.74,946.87,930.14,930.96,2665063
2023-10-25,931.12,932.51,922.3,932.51,2595360
2023-10-26,930.22,942.32,921.73,939.86,1192286
2023-10-27,943.45,946.02,937.34,946.02,2705518
2023-10-30,945.67,950.38,936.96,950.38,4714663
2023-10-31,948.43,952.17,945.97,946.66,2990821
2023-11-01,949.86,958.9,943.64,945.54,1251199
2023-11-02,943.47,952.05,940.46,952.05,4899270
2023-11-03,953.19,954.37,945.11,948.04,2269079
2023-11-06,946.86,950.6,941.99,950.6,1144153
2023-11-07,953.33,958.41,946.74,958.41,3113427
2023-11-08,960.24,969.72,957.23,959.44,1930255
2023-11-09,959.64,964.87,957.6,957.6,5551945
2023-11-10,955.96,962.18,947.68,962.18,3627336
2023-11-13,960.09,970.74,956.95,967.45,2325211
2023-11-14,963.58,974.7,959.45,972.17,3091766
2023-11-15,971.32,981.36,962.58,969.45,3132287
2023-11-16,968.47,975.55,964.09,970.94,2062620
2023-11-17,973.55,981.53,967.79,967.79,5032433
2023-11-20,965.73,975.86,956.49,975.86,2052279
2023-11-21,977.05,977.82,968.52,971.61,5586462
2023-11-22,972.47,976.74,970.89,970.89,1014814
2023-11-23,970.29,972.86,963.19,969.26,785518
2023-11-24,970.54,978.93,959.41,978.93,4645015
2023-11-27,979.98,981.86,974.97,974.97,4881425
2023-11-28,975.71,978.75,965.28,965.28,1243227
2023-11-29,968.73,970.46,961.15,961.15,4943430
2023-11-30,962.48,970.69,959.06,959.06,1115041
2023-12-01,960.12,969.89,956.13,956.13,2924714
2023-12-04,956.42,960.18,952.42,957.64,2744605
2023-12-05,958.87,959.71,951.3,959.71,993971
2023-12-06,959.44,963.8,954.44,961.38,1969648
2023-12-07,963.86,969.61,955.25,959.25,5855803
2023-12-08,962.01,971.88,951.49,954.34,4573759
2023-12-11,952.17,956.67,945.09,949.92,4410804
2023-12-12,951.31,953.2,941.9,946.39,2071592
2023-12-13,947.81,953.1,945.76,945.76,2204972
2023-12-14,942.59,948.76,933.94,948.66,4742641
2023-12-15,952.62,956.91,946.89,946.89,5987726
2023-12-18,946.61,953.14,941.61,947.27,4330921
2023-12-19,947.75,949.23,940.1,947.34,5301804
2023-12-20,947.12,951.09,941.62,941.62,2849829
2023-12-21,944.53,949.11,939.82,943.82,5945168
2023-12-22,946.51,951.61,943.13,951.61,2400875
2023-12-25,953.41,962.58,946.5,960.16,1087906
2023-12-26,962.39,963.68,956.55,957.41,4207883
2023-12-27,960.18,967.16,948.88,957.46,733632
